,0
OTU309,20
OTU804,20
OTU981,20
OTU606,19
OTU699,19
OTU221,19
OTU589,19
OTU588,19
OTU537,19
OTU436,19
OTU724,19
OTU450,19
OTU776,18
OTU716,18
OTU782,18
OTU571,18
OTU512,18
OTU679,18
OTU213,18
OTU739,18
OTU676,18
OTU810,18
OTU646,18
OTU666,17
OTU662,17
OTU490,17
OTU692,17
OTU615,17
OTU505,17
OTU603,17
OTU691,17
OTU842,16
OTU839,16
OTU814,16
OTU706,16
OTU759,16
OTU573,16
OTU607,16
OTU811,15
OTU718,15
OTU585,15
OTU773,15
OTU785,15
OTU834,15
OTU535,15
OTU826,14
OTU798,14
OTU796,14
OTU684,14
OTU844,14
OTU862,14
OTU756,14
OTU734,14
OTU730,14
OTU474,14
OTU720,14
OTU915,14
OTU1219,14
OTU971,14
OTU1044,13
OTU767,13
OTU815,13
OTU592,13
OTU649,13
OTU843,13
OTU824,13
OTU783,13
OTU713,13
OTU485,13
OTU762,13
OTU752,13
OTU674,12
OTU982,12
OTU1020,12
OTU715,12
OTU765,12
OTU951,12
OTU929,12
OTU396,12
OTU828,12
OTU627,12
OTU928,11
OTU780,11
OTU749,11
OTU902,11
OTU522,11
OTU445,11
OTU869,11
OTU999,11
OTU840,11
OTU1029,11
OTU1081,11
OTU745,11
OTU772,10
OTU892,10
OTU740,10
OTU402,10
OTU641,10
OTU495,10
OTU711,10
OTU744,10
OTU1226,10
OTU903,10
OTU793,10
OTU618,10
OTU867,10
OTU1188,10
OTU705,10
OTU872,10
OTU123,10
OTU917,9
OTU239,9
OTU1031,9
OTU750,9
OTU651,9
OTU789,9
OTU643,9
OTU728,9
OTU673,9
OTU678,9
OTU846,9
OTU1123,9
OTU841,9
OTU957,9
OTU821,9
OTU777,9
OTU797,9
OTU710,9
OTU885,9
OTU321,9
OTU890,9
OTU943,9
OTU938,9
OTU886,8
OTU1028,8
OTU1010,8
OTU1195,8
OTU788,8
OTU575,8
OTU760,8
OTU801,8
OTU1054,8
OTU987,8
OTU874,8
OTU1128,8
OTU681,8
OTU1059,8
OTU1222,8
OTU1046,8
OTU868,8
OTU702,8
OTU461,8
OTU1189,8
OTU808,8
OTU989,8
OTU820,8
OTU925,8
OTU731,8
OTU819,8
OTU882,8
OTU1001,8
OTU1002,8
OTU809,8
OTU722,8
OTU754,8
OTU860,7
OTU1056,7
OTU851,7
OTU1068,7
OTU847,7
OTU1027,7
OTU1175,7
OTU1026,7
OTU506,7
OTU406,7
OTU900,7
OTU921,7
OTU1234,7
OTU689,7
OTU1122,7
OTU984,7
OTU995,7
OTU554,7
OTU1025,7
OTU727,7
OTU998,7
OTU931,7
OTU1162,7
OTU1099,7
OTU764,7
OTU774,7
OTU1007,7
OTU911,7
OTU1130,6
OTU866,6
OTU997,6
OTU779,6
OTU1129,6
OTU952,6
OTU1238,6
OTU614,6
OTU956,6
OTU1091,6
OTU1047,6
OTU964,6
OTU861,6
OTU1058,6
OTU1024,6
OTU1125,6
OTU1069,6
OTU881,6
OTU1070,6
OTU1109,6
OTU748,6
OTU385,6
OTU1105,6
OTU816,6
OTU1110,6
OTU733,6
OTU891,6
OTU1019,6
OTU1004,6
OTU926,6
OTU856,5
OTU1299,5
OTU1023,5
OTU975,5
OTU966,5
OTU973,5
OTU980,5
OTU978,5
OTU960,5
OTU935,5
OTU1022,5
OTU895,5
OTU855,5
OTU1286,5
OTU922,5
OTU1141,5
OTU1115,5
OTU696,5
OTU1087,5
OTU1258,5
OTU601,5
OTU1116,5
OTU832,5
OTU459,5
OTU1236,5
OTU836,5
OTU1086,5
OTU695,5
OTU1224,5
OTU1156,5
OTU1057,5
OTU918,4
OTU1106,4
OTU1104,4
