,0
OTU1013,4
OTU623,4
OTU710,4
OTU680,4
OTU734,4
OTU1185,4
OTU1143,4
OTU963,4
OTU1473,4
OTU945,4
OTU935,4
OTU933,4
OTU1402,4
OTU923,4
OTU1358,4
OTU1023,4
OTU614,4
OTU827,4
OTU1209,4
OTU708,4
OTU532,4
OTU1086,4
OTU1116,4
OTU1261,4
OTU1075,4
OTU554,4
OTU1267,3
OTU570,3
OTU1085,3
OTU1286,3
OTU1135,3
OTU818,3
OTU1273,3
OTU873,3
OTU518,3
OTU681,3
OTU1087,3
OTU1322,3
OTU1134,3
OTU1071,3
OTU1093,3
OTU1446,3
OTU948,3
OTU956,3
OTU1063,3
OTU981,3
OTU1450,3
OTU1297,3
OTU1050,3
OTU1475,3
OTU1507,3
OTU1411,3
OTU1438,3
OTU1196,3
OTU1409,3
OTU1240,3
OTU1195,3
OTU1079,3
OTU823,3
OTU1020,3
OTU1398,3
OTU704,3
OTU931,3
OTU1167,3
OTU1107,3
OTU274,3
OTU905,3
OTU485,3
OTU425,3
OTU965,3
OTU1249,2
OTU1287,2
OTU658,2
OTU1097,2
OTU1251,2
OTU1314,2
OTU1068,2
OTU980,2
OTU738,2
OTU1061,2
OTU1058,2
OTU1239,2
OTU1125,2
OTU1508,2
OTU1324,2
OTU1346,2
OTU1031,2
OTU1114,2
OTU1350,2
OTU919,2
OTU1352,2
OTU1016,2
OTU1355,2
OTU1065,2
OTU1364,2
OTU380,2
OTU994,2
OTU992,2
OTU991,2
OTU1369,2
OTU1283,2
OTU1237,2
OTU1212,2
OTU1430,2
OTU1418,2
OTU1180,2
OTU1278,2
OTU1213,2
OTU599,2
OTU852,2
OTU1177,2
OTU607,2
OTU898,2
OTU825,2
OTU1420,2
OTU652,2
OTU1175,2
OTU1260,2
OTU1256,2
OTU878,2
OTU1171,2
OTU1423,2
OTU1428,2
OTU1405,2
OTU1238,2
OTU1451,2
OTU1444,2
OTU1040,1
OTU1468,1
OTU1502,1
OTU1254,1
OTU1345,1
OTU1124,1
OTU844,1
OTU1047,1
OTU1427,1
OTU1501,1
OTU474,1
OTU1194,1
OTU645,1
OTU864,1
OTU1454,1
OTU686,1
OTU1482,1
OTU1271,1
OTU1231,1
OTU602,1
OTU1270,1
OTU865,1
OTU859,1
OTU1351,1
OTU534,1
OTU601,1
OTU1252,1
OTU1338,1
OTU1089,1
OTU1262,1
OTU789,1
OTU1083,1
OTU1084,1
OTU790,1
OTU791,1
OTU1088,1
OTU1090,1
OTU1235,1
OTU1443,1
OTU1092,1
OTU1311,1
OTU1447,1
OTU1100,1
OTU620,1
OTU1500,1
OTU1080,1
OTU1310,1
OTU1488,1
OTU1328,1
OTU1510,1
OTU1307,1
OTU1121,1
OTU647,1
OTU1266,1
OTU1333,1
OTU632,1
OTU324,1
OTU174,1
OTU1331,1
OTU786,1
OTU832,1
OTU787,1
OTU1070,1
OTU606,1
OTU1425,1
OTU390,1
OTU1243,1
OTU949,1
OTU974,1
OTU743,1
OTU1296,1
OTU1157,1
OTU1384,1
OTU959,1
OTU765,1
OTU1460,1
OTU1178,1
OTU508,1
OTU1386,1
OTU751,1
OTU951,1
OTU1291,1
OTU1222,1
OTU1298,1
OTU944,1
OTU1491,1
OTU1391,1
OTU1174,1
OTU1315,1
OTU906,1
OTU1412,1
OTU1397,1
OTU1457,1
OTU1399,1
OTU571,1
OTU1408,1
OTU1407,1
OTU921,1
OTU1150,1
OTU893,1
OTU1275,1
OTU1226,1
OTU987,1
OTU1245,1
OTU1365,1
OTU985,1
OTU887,1
OTU1141,1
OTU983,1
OTU1144,1
OTU732,1
OTU767,1
OTU1139,1
OTU1361,1
OTU1184,1
OTU1463,1
OTU1216,1
OTU1419,1
OTU1484,1
OTU999,1
OTU1280,0
OTU1288,0
OTU1300,0
OTU1285,0
OTU1289,0
OTU1299,0
OTU1290,0
OTU1253,0
OTU1272,0
OTU1312,0
OTU1257,0
OTU1313,0
OTU1284,0
OTU1259,0
OTU1282,0
OTU1281,0
OTU1309,0
OTU1279,0
OTU1276,0
OTU1246,0
OTU1255,0
OTU1277,0
OTU1295,0
OTU1306,0
OTU1294,0
OTU1293,0
OTU1241,0
OTU1305,0
OTU1301,0
OTU1247,0
OTU1292,0
OTU1265,0
OTU1268,0
OTU1264,0
OTU1258,0
OTU1308,0
OTU1304,0
OTU1303,0
OTU1244,0
OTU1248,0
OTU1263,0
OTU1269,0
OTU1302,0
OTU1511,0
OTU1316,0
OTU1479,0
OTU1442,0
OTU1498,0
OTU1441,0
OTU1440,0
OTU1439,0
OTU1437,0
OTU1436,0
OTU1435,0
OTU1434,0
OTU1433,0
OTU1481,0
OTU1432,0
OTU1431,0
OTU1497,0
OTU1429,0
OTU1496,0
OTU1426,0
OTU1424,0
OTU1483,0
OTU1422,0
OTU1421,0
OTU1495,0
OTU1494,0
OTU1485,0
OTU1493,0
OTU1492,0
OTU1417,0
OTU1416,0
OTU1415,0
OTU1480,0
OTU1499,0
OTU1413,0
OTU1445,0
OTU1469,0
OTU1509,0
OTU1467,0
OTU1512,0
OTU1470,0
OTU1466,0
OTU1471,0
OTU1465,0
OTU1506,0
OTU1464,0
OTU1462,0
OTU1461,0
OTU1472,0
OTU1505,0
OTU1474,0
OTU1459,0
OTU1513,0
OTU1504,0
OTU1458,0
OTU1456,0
OTU1503,0
OTU1455,0
OTU1453,0
OTU1476,0
OTU1477,0
OTU1452,0
OTU1449,0
OTU1448,0
OTU1478,0
OTU1414,0
OTU1410,0
OTU1317,0
OTU1362,0
OTU1359,0
OTU1357,0
OTU1356,0
OTU1354,0
OTU1353,0
OTU1490,0
OTU1349,0
OTU1489,0
OTU1348,0
OTU1347,0
OTU1344,0
OTU1343,0
OTU1341,0
OTU1340,0
OTU1337,0
OTU1335,0
OTU1334,0
OTU1332,0
OTU1330,0
OTU1329,0
OTU1327,0
OTU1326,0
OTU1325,0
OTU1323,0
OTU1321,0
OTU1320,0
OTU1319,0
OTU1487,0
OTU1318,0
OTU1360,0
OTU1363,0
OTU1406,0
OTU1366,0
OTU1404,0
OTU1403,0
OTU1401,0
OTU1396,0
OTU1395,0
OTU1394,0
OTU1393,0
OTU1392,0
OTU1390,0
OTU1389,0
OTU1388,0
OTU1387,0
OTU1385,0
OTU1486,0
OTU1383,0
OTU1382,0
OTU1381,0
OTU1379,0
OTU1378,0
OTU1377,0
OTU1376,0
OTU1375,0
OTU1374,0
OTU1373,0
OTU1372,0
OTU1371,0
OTU1370,0
OTU1368,0
OTU1367,0
OTU1380,0
OTU758,0
OTU1236,0
OTU884,0
OTU871,0
OTU872,0
OTU874,0
OTU877,0
OTU879,0
OTU883,0
OTU885,0
OTU908,0
OTU888,0
OTU890,0
OTU897,0
OTU899,0
OTU901,0
OTU902,0
OTU870,0
OTU868,0
OTU863,0
OTU858,0
OTU857,0
OTU853,0
OTU849,0
OTU845,0
OTU843,0
OTU840,0
OTU838,0
OTU837,0
OTU835,0
OTU831,0
OTU822,0
OTU814,0
OTU813,0
OTU907,0
OTU909,0
OTU1234,0
OTU954,0
OTU938,0
OTU939,0
OTU940,0
OTU942,0
OTU947,0
OTU950,0
OTU960,0
OTU910,0
OTU964,0
OTU967,0
OTU968,0
OTU969,0
OTU970,0
OTU971,0
OTU937,0
OTU936,0
OTU934,0
OTU932,0
OTU930,0
OTU929,0
OTU927,0
OTU926,0
OTU925,0
OTU924,0
OTU922,0
OTU920,0
OTU917,0
OTU916,0
OTU915,0
OTU914,0
OTU912,0
OTU806,0
OTU803,0
OTU797,0
