OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU1291	Bacteria	Firmicutes	Bacilli	RF39	uncultured Firmicutes bacterium	?	?
OTU1292	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1293	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	?	?	?
OTU1294	Bacteria	Firmicutes	Bacilli	Bacillales	?	?	?
OTU1295	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter secundus
OTU1296	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1297	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1298	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	?
OTU1299	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	Pseudoxanthomonas mexicana
OTU1300	Bacteria	Actinobacteriota	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	?
OTU1301	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter sp. S8-2
OTU1302	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	Filifactor	Filifactor alocis
OTU1303	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1304	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
OTU1305	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	?
OTU1306	Bacteria	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	?
OTU1307	Bacteria	Desulfobacterota	?	?	?	?	?
OTU1308	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	?
OTU1309	Bacteria	Acidobacteriota	Blastocatellia	11-24	?	?	?
OTU1310	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1311	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU1312	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	?	?
OTU1313	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1314	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1315	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	?
OTU1316	Bacteria	Firmicutes	Bacilli	RF39	gut metagenome	?	?
OTU1317	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU1318	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Ellin517	uncultured soil bacterium
OTU1319	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1320	Bacteria	Firmicutes	Bacilli	RF39	uncultured Erysipelotrichia bacterium	?	?
OTU1321	Bacteria	Firmicutes	Bacilli	RF39	human gut metagenome	?	?
OTU1322	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	?
OTU1323	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU1324	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	?	?
OTU1325	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	?
OTU1326	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1327	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Sutterella	Sutturella timonensis
OTU1328	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Slackia	Slackia isoflavoniconvertens
OTU1329	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1330	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	?	?	?
OTU1331	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	gut metagenome
OTU1332	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ideonella	?
OTU1333	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
OTU1334	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1335	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU1336	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1337	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	?
OTU1338	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	metagenome
OTU1339	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	?
OTU1340	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1341	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Proteiniclasticum	Clostridium sp.
OTU1342	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1343	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	?
OTU1344	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	uncultured Thermoanaerobacterales bacterium	?	?
OTU1345	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	?	?
OTU1346	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1347	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	Peptococcus	uncultured organism
OTU1348	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU1349	Bacteria	Firmicutes	Clostridia	Clostridiales	?	?	?
OTU1350	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU1351	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
OTU1352	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Dubosiella	?
OTU1353	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU1354	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	?
OTU1355	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	?	?
OTU1356	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	?	?
OTU1357	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter boryungensis
OTU1358	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1359	Bacteria	Bacteroidota	Bacteroidia	?	?	?	?
OTU1360	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	uncultured Acidobacteria bacterium
OTU1361	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	?
OTU1362	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1363	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	?
OTU1364	Bacteria	Proteobacteria	?	?	?	?	?
OTU1365	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1366	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	?	?
OTU1367	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia	?
OTU1368	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum	?
OTU1369	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1370	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1371	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1372	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1373	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU1374	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	?
OTU1375	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	uncultured Acidobacteria bacterium	?	?
OTU1376	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	bacterium V9D2012
OTU1377	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1378	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	?	?	?
OTU1379	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	?
OTU1380	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	Arenimonas daechungensis
OTU1381	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup 13	?	?	?
OTU1382	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU1383	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas aquatica
OTU1384	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella_9	?
OTU1385	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	?
OTU1386	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1387	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1388	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
OTU1389	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas fonticola
OTU1390	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group	?
OTU1391	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	?
OTU1392	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1393	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella excrementihominis
OTU1394	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1395	Bacteria	Firmicutes	Clostridia	Oscillospirales	Hungateiclostridiaceae	Ruminiclostridium	uncultured rumen bacterium
OTU1396	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7 clade	?
OTU1397	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	?	?
OTU1399	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	?
OTU1400	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1401	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	?	?	?
OTU1402	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1403	Bacteria	Proteobacteria	Gammaproteobacteria	?	?	?	?
OTU1404	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Ahniella	?
OTU1405	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	?
OTU1406	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Acidibacter	?
OTU1407	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	?	?	?
OTU1408	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	uncultured rumen bacterium	?	?
OTU1409	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU1410	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	uncultured rumen bacterium
OTU1411	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1412	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1413	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp.
OTU1414	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	metagenome
OTU1415	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	?	?
OTU1416	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Allobaculum	?
OTU1417	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	?	?
OTU1418	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter schindleri
OTU1419	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
OTU1420	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1421	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	?	uncultured soil bacterium	?
OTU1422	Bacteria	Firmicutes	Bacilli	Thermicanales	Thermicanaceae	Thermicanus	?
OTU1423	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1424	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU1425	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Incertae Sedis	?
OTU1426	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU1427	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	?
OTU1428	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	?
OTU1429	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	?	?	?
OTU1430	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1431	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	uncultured rumen bacterium	?
OTU1432	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	metagenome
OTU1433	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1434	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12 marine group	?	?
OTU1435	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Paludicola	metagenome
OTU1436	Bacteria	Actinobacteriota	Actinobacteria	Streptomycetales	Streptomycetaceae	?	?
OTU1437	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis
OTU1438	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-001	?
OTU1439	Bacteria	Firmicutes	Bacilli	RF39	uncultured rumen bacterium	?	?
OTU1440	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU1441	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	F082	uncultured rumen bacterium	?
OTU1442	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	?	metagenome
OTU1443	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1444	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Solobacterium	?
OTU1445	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Mitsuokella	?
OTU1446	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1448	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured Nitrospirae bacterium
OTU1449	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1450	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	?	?
OTU1451	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	?	?
OTU1452	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	?	?	?
OTU1453	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Panacagrimonas	?
OTU1454	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1455	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Serratia	?
OTU1456	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU1457	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	?
OTU1458	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia insidiosa
OTU1459	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1460	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Faecalibaculum	?
OTU1461	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	Erysipelatoclostridiaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum
OTU1462	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Solimonadaceae	Fontimonas	uncultured Xanthomonadaceae bacterium
OTU1463	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus intestinalis
OTU1464	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Hassallia	?
OTU1465	Bacteria	Firmicutes	Clostridia	?	?	?	?
OTU1466	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	human gut
OTU1467	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	uncultured organism	?
OTU1468	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella	Parasutterella excrementihominis
OTU1469	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Cellvibrio	uncultured Cellvibrio sp.
OTU1470	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	?
OTU1471	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Selenomonadaceae	Anaerovibrio	?
OTU1472	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	?	?
OTU1474	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	?	?
OTU1475	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	?
OTU1476	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	Prevotella brevis
OTU1477	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1478	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU1479	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Candidatus Berkiella	Ectothiorhodospira sp.
OTU1480	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	?	?	?
OTU1481	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	?	?
OTU1482	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1483	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia	Facklamia tabacinasalis
OTU1484	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae NK4A136 group	?
OTU1485	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	?	uncultured Xanthomonadaceae bacterium
OTU1486	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	Aquicella	?
OTU1487	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter	?
OTU1488	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1489	Bacteria	Acidobacteriota	Acidobacteriae	PAUC26f	?	?	?
OTU1490	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	?	?	?
OTU1491	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	uncultured organism	?
OTU1492	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	?	metagenome	?
OTU1493	Bacteria	Spirochaetota	Spirochaetia	?	?	?	?
OTU1494	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	?
OTU1495	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Tahibacter	metagenome
OTU1496	Bacteria	Acidobacteriota	Holophagae	Subgroup 7	?	?	?
OTU1497	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	?	?
OTU1498	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Ramlibacter	metagenome
OTU1499	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU1500	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	dgA-11 gut group	?
OTU1501	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	uncultured Bacteroidales bacterium
OTU1502	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Papillibacter	?
OTU1503	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	?
OTU1504	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU1505	Bacteria	Firmicutes	Clostridia	Oscillospirales	?	?	?
OTU1506	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	PeH15	uncultured rumen bacterium	?
OTU1508	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	Mucispirillum schaedleri
OTU1509	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1510	Bacteria	Firmicutes	Clostridia	Peptococcales	Peptococcaceae	?	?
OTU1511	Bacteria	Proteobacteria	Alphaproteobacteria	Paracaedibacterales	Paracaedibacteraceae	?	uncultured prokaryote
OTU1512	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Globicatella	?
OTU1513	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU1514	Bacteria	Latescibacterota	?	?	?	?	?
