OTU	Domain	Phylum	Class	Order	Family	Genus	Species
OTU850	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	?
OTU851	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella	?
OTU852	Bacteria	Firmicutes	?	?	?	?	?
OTU853	Bacteria	Firmicutes	Clostridia	Lachnospirales	?	?	?
OTU854	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	?
OTU855	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	?	?
OTU856	Bacteria	Firmicutes	Bacilli	Erysipelotrichales	?	?	?
OTU857	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga gingivalis
OTU858	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Plesiomonas	Plesiomonas shigelloides
OTU859	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Bergeyella	?
OTU860	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium breve
OTU861	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU862	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidales RF16 group	?	?
OTU863	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	?
OTU864	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU865	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	?
OTU866	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	?
OTU867	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	?	?	?
OTU868	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	?
OTU869	Bacteria	Firmicutes	Clostridia	Oscillospirales	?	?	?
OTU870	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	?	?	?
OTU871	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	?
OTU872	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	uncultured beta proteobacterium
OTU873	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	?	?
OTU874	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	?	?
OTU875	Bacteria	Firmicutes	Bacilli	?	?	?	?
OTU876	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU877	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis
OTU878	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-001	?
OTU879	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Scardovia	Scardovia wiggsiae
OTU880	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	?
OTU881	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	?	?
OTU882	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	?
OTU883	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	?
OTU884	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Butyricimonas	Butyricimonas virosa
OTU885	Bacteria	Proteobacteria	Alphaproteobacteria	Dongiales	Dongiaceae	Dongia	?
OTU886	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	?	?
OTU887	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	?	?
OTU888	Bacteria	Firmicutes	Clostridia	Lachnospirales	?	?	?
OTU889	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium varium
OTU890	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	?
OTU891	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	?
OTU892	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	?	?
OTU893	Bacteria	Firmicutes	Bacilli	RF39	?	?	?
OTU894	Bacteria	Firmicutes	Bacilli	RF39	uncultured rumen bacterium	?	?
